date,monitoring_location,daily_total
2018-01-04,Bow River Pathway,380
2018-01-04,Edmonton Tr North of Memorial Dr,68
2018-01-04,Inglewood Bird Sanctuary,34
2018-01-04,Lindsay Park,56
2018-01-04,Memorial Drive at 19 St NW,666
2018-01-04,Memorial Drive at Prince's Island,116
2018-01-04,North Glenmore,18
2018-01-04,Nose Creek,0
2018-01-04,Parkdale,502
2018-01-04,Peace Bridge,0
2018-01-04,River Walk,310
2018-01-04,South Glenmore,82
2018-01-04,Wetlands,0
2018-01-05,10 Street North of 5 Ave NW,126
2018-01-05,12 Ave West of 2 St SW,232
2018-01-05,12 Ave West of 3 St SE,162
2018-01-05,12 Ave West of 8 St SW,254
2018-01-05,5 Street North of 10 Ave SW,0
2018-01-05,5 Street North of 15 Ave SW,196
2018-01-05,5 Street North of 5 Ave SW,368
2018-01-05,7 Street South of 3 Ave SW,240
2018-01-05,8 Ave West of 3 Street SW,490
2018-01-05,8 Ave West of 8 St SW,0
2018-01-05,9 Ave West of 4 Street SE,74
2018-01-05,Bow River Pathway,318
2018-01-05,Edmonton Tr North of Memorial Dr,46
2018-01-05,Inglewood Bird Sanctuary,40
2018-01-05,Lindsay Park,48
2018-01-05,Memorial Drive at 19 St NW,618
2018-01-05,Memorial Drive at Prince's Island,118
2018-01-05,North Glenmore,12
2018-01-05,Nose Creek,0
2018-01-05,Parkdale,458
2018-01-05,Peace Bridge,0
2018-01-05,River Walk,356
2018-01-05,South Glenmore,86
2018-01-05,Wetlands,4
2018-01-06,10 Street North of 5 Ave NW,52
2018-01-06,12 Ave West of 2 St SW,108
2018-01-06,12 Ave West of 3 St SE,80
2018-01-06,12 Ave West of 8 St SW,134
2018-01-06,5 Street North of 10 Ave SW,0
2018-01-06,5 Street North of 15 Ave SW,90
2018-01-06,5 Street North of 5 Ave SW,98
2018-01-06,7 Street South of 3 Ave SW,62
2018-01-06,8 Ave West of 3 Street SW,140
2018-01-06,8 Ave West of 8 St SW,0
2018-01-06,9 Ave West of 4 Street SE,38
2018-01-06,Bow River Pathway,94
2018-01-06,Edmonton Tr North of Memorial Dr,40
2018-01-06,Inglewood Bird Sanctuary,22
2018-01-06,Lindsay Park,42
2018-01-06,Memorial Drive at 19 St NW,168
2018-01-06,Memorial Drive at Prince's Island,54
2018-01-06,North Glenmore,28
2018-01-06,Nose Creek,0
2018-01-06,Parkdale,154
2018-01-06,Peace Bridge,0
2018-01-06,River Walk,170
2018-01-06,South Glenmore,42
2018-01-06,Wetlands,0
2018-01-07,10 Street North of 5 Ave NW,40
2018-01-07,12 Ave West of 2 St SW,114
2018-01-07,12 Ave West of 3 St SE,68
2018-01-07,12 Ave West of 8 St SW,84
2018-01-07,5 Street North of 10 Ave SW,0
2018-01-07,5 Street North of 15 Ave SW,66
2018-01-07,5 Street North of 5 Ave SW,64
2018-01-07,7 Street South of 3 Ave SW,32
2018-01-07,8 Ave West of 3 Street SW,116
2018-01-07,8 Ave West of 8 St SW,0
2018-01-07,9 Ave West of 4 Street SE,36
2018-01-07,Bow River Pathway,66
2018-01-07,Edmonton Tr North of Memorial Dr,16
2018-01-07,Inglewood Bird Sanctuary,28
2018-01-07,Lindsay Park,26
2018-01-07,Memorial Drive at 19 St NW,168
2018-01-07,Memorial Drive at Prince's Island,98
2018-01-07,North Glenmore,40
2018-01-07,Nose Creek,0
2018-01-07,Parkdale,156
2018-01-07,Peace Bridge,0
2018-01-07,River Walk,132
2018-01-07,South Glenmore,62
2018-01-07,Wetlands,0
2018-01-08,10 Street North of 5 Ave NW,208
2018-01-08,12 Ave West of 2 St SW,260
2018-01-08,12 Ave West of 3 St SE,144
2018-01-08,12 Ave West of 8 St SW,288
2018-01-08,5 Street North of 10 Ave SW,0
2018-01-08,5 Street North of 15 Ave SW,304
2018-01-08,5 Street North of 5 Ave SW,408
2018-01-08,7 Street South of 3 Ave SW,352
2018-01-08,8 Ave West of 3 Street SW,602
2018-01-08,8 Ave West of 8 St SW,0
2018-01-08,9 Ave West of 4 Street SE,82
2018-01-08,Bow River Pathway,524
2018-01-08,Edmonton Tr North of Memorial Dr,74
2018-01-08,Inglewood Bird Sanctuary,78
2018-01-08,Lindsay Park,72
2018-01-08,Memorial Drive at 19 St NW,950
2018-01-08,Memorial Drive at Prince's Island,224
2018-01-08,North Glenmore,16
2018-01-08,Nose Creek,4
2018-01-08,Parkdale,736
2018-01-08,Peace Bridge,204
2018-01-08,River Walk,444
2018-01-08,South Glenmore,96
2018-01-08,Wetlands,0
2018-01-09,10 Street North of 5 Ave NW,186
2018-01-09,12 Ave West of 2 St SW,222
2018-01-09,12 Ave West of 3 St SE,94
2018-01-09,12 Ave West of 8 St SW,196
2018-01-09,5 Street North of 10 Ave SW,0
2018-01-09,5 Street North of 15 Ave SW,262
2018-01-09,5 Street North of 5 Ave SW,440
2018-01-09,7 Street South of 3 Ave SW,280
2018-01-09,8 Ave West of 3 Street SW,644
2018-01-09,8 Ave West of 8 St SW,0
2018-01-09,9 Ave West of 4 Street SE,72
2018-01-09,Bow River Pathway,478
2018-01-09,Edmonton Tr North of Memorial Dr,52
2018-01-09,Inglewood Bird Sanctuary,44
2018-01-09,Lindsay Park,52
2018-01-09,Memorial Drive at 19 St NW,744
2018-01-09,Memorial Drive at Prince's Island,102
2018-01-09,North Glenmore,14
2018-01-09,Nose Creek,4
2018-01-09,Parkdale,536
2018-01-09,Peace Bridge,210
2018-01-09,River Walk,304
2018-01-09,South Glenmore,64
2018-01-09,Wetlands,2
2018-01-10,10 Street North of 5 Ave NW,330
2018-01-10,12 Ave West of 2 St SW,152
2018-01-10,12 Ave West of 3 St SE,74
2018-01-10,12 Ave West of 8 St SW,126
2018-01-10,5 Street North of 10 Ave SW,0
2018-01-10,5 Street North of 15 Ave SW,192
2018-01-10,5 Street North of 5 Ave SW,292
2018-01-10,7 Street South of 3 Ave SW,192
2018-01-10,8 Ave West of 3 Street SW,514
2018-01-10,8 Ave West of 8 St SW,0
2018-01-10,9 Ave West of 4 Street SE,30
2018-01-10,Bow River Pathway,294
2018-01-10,Edmonton Tr North of Memorial Dr,26
2018-01-10,Inglewood Bird Sanctuary,16
2018-01-10,Lindsay Park,32
2018-01-10,Memorial Drive at 19 St NW,388
2018-01-10,Memorial Drive at Prince's Island,62
2018-01-10,North Glenmore,2
2018-01-10,Nose Creek,0
2018-01-10,Parkdale,262
2018-01-10,Peace Bridge,106
2018-01-10,River Walk,190
2018-01-10,South Glenmore,34
2018-01-10,Wetlands,0
2018-01-11,10 Street North of 5 Ave NW,386
2018-01-11,12 Ave West of 2 St SW,156
2018-01-11,12 Ave West of 3 St SE,48
2018-01-11,12 Ave West of 8 St SW,128
2018-01-11,5 Street North of 10 Ave SW,0
2018-01-11,5 Street North of 15 Ave SW,128
2018-01-11,5 Street North of 5 Ave SW,228
2018-01-11,7 Street South of 3 Ave SW,148
2018-01-11,8 Ave West of 3 Street SW,484
2018-01-11,8 Ave West of 8 St SW,0
2018-01-11,9 Ave West of 4 Street SE,48
2018-01-11,Bow River Pathway,196
2018-01-11,Edmonton Tr North of Memorial Dr,32
2018-01-11,Inglewood Bird Sanctuary,18
2018-01-11,Lindsay Park,24
2018-01-11,Memorial Drive at 19 St NW,322
2018-01-11,Memorial Drive at Prince's Island,46
2018-01-11,North Glenmore,0
2018-01-11,Nose Creek,0
2018-01-11,Parkdale,186
2018-01-11,Peace Bridge,114
2018-01-11,River Walk,154
2018-01-11,South Glenmore,20
2018-01-11,Wetlands,0
2018-01-12,10 Street North of 5 Ave NW,182
2018-01-12,12 Ave West of 2 St SW,136
2018-01-12,12 Ave West of 3 St SE,56
2018-01-12,12 Ave West of 8 St SW,124
2018-01-12,5 Street North of 10 Ave SW,0
2018-01-12,5 Street North of 15 Ave SW,132
2018-01-12,5 Street North of 5 Ave SW,280
2018-01-12,7 Street South of 3 Ave SW,152
2018-01-12,8 Ave West of 3 Street SW,544
2018-01-12,8 Ave West of 8 St SW,0
2018-01-12,9 Ave West of 4 Street SE,44
2018-01-12,Bow River Pathway,236
2018-01-12,Edmonton Tr North of Memorial Dr,36
2018-01-12,Inglewood Bird Sanctuary,12
2018-01-12,Lindsay Park,20
2018-01-12,Memorial Drive at 19 St NW,324
2018-01-12,Memorial Drive at Prince's Island,62
2018-01-12,North Glenmore,0
2018-01-12,Nose Creek,0
2018-01-12,Parkdale,194
2018-01-12,Peace Bridge,92
2018-01-12,River Walk,158
2018-01-12,South Glenmore,24
2018-01-12,Wetlands,0
2018-01-13,10 Street North of 5 Ave NW,36
2018-01-13,12 Ave West of 2 St SW,84
2018-01-13,12 Ave West of 3 St SE,64
2018-01-13,12 Ave West of 8 St SW,104
2018-01-13,5 Street North of 10 Ave SW,0
2018-01-13,5 Street North of 15 Ave SW,114
2018-01-13,5 Street North of 5 Ave SW,64
2018-01-13,7 Street South of 3 Ave SW,56
2018-01-13,8 Ave West of 3 Street SW,148
2018-01-13,8 Ave West of 8 St SW,0
2018-01-13,9 Ave West of 4 Street SE,58
2018-01-13,Bow River Pathway,118
2018-01-13,Edmonton Tr North of Memorial Dr,38
2018-01-13,Inglewood Bird Sanctuary,18
2018-01-13,Lindsay Park,26
2018-01-13,Memorial Drive at 19 St NW,162
2018-01-13,Memorial Drive at Prince's Island,78
2018-01-13,North Glenmore,56
2018-01-13,Nose Creek,0
2018-01-13,Parkdale,146
2018-01-13,Peace Bridge,92
2018-01-13,River Walk,142
2018-01-13,South Glenmore,94
2018-01-13,Wetlands,0
2018-01-14,10 Street North of 5 Ave NW,26
2018-01-14,12 Ave West of 2 St SW,66
2018-01-14,12 Ave West of 3 St SE,30
2018-01-14,12 Ave West of 8 St SW,60
2018-01-14,5 Street North of 10 Ave SW,0
2018-01-14,5 Street North of 15 Ave SW,68
2018-01-14,5 Street North of 5 Ave SW,42
2018-01-14,7 Street South of 3 Ave SW,28
2018-01-14,8 Ave West of 3 Street SW,50
2018-01-14,8 Ave West of 8 St SW,0
2018-01-14,9 Ave West of 4 Street SE,24
2018-01-14,Bow River Pathway,40
2018-01-14,Edmonton Tr North of Memorial Dr,12
2018-01-14,Inglewood Bird Sanctuary,10
2018-01-14,Lindsay Park,16
2018-01-14,Memorial Drive at 19 St NW,134
2018-01-14,Memorial Drive at Prince's Island,54
2018-01-14,North Glenmore,12
2018-01-14,Nose Creek,0
2018-01-14,Parkdale,92
2018-01-14,Peace Bridge,36
2018-01-14,River Walk,102
2018-01-14,South Glenmore,18
2018-01-14,Wetlands,0
2018-01-15,10 Street North of 5 Ave NW,124
2018-01-15,12 Ave West of 2 St SW,216
2018-01-15,12 Ave West of 3 St SE,124
2018-01-15,12 Ave West of 8 St SW,206
2018-01-15,5 Street North of 10 Ave SW,0
2018-01-15,5 Street North of 15 Ave SW,196
2018-01-15,5 Street North of 5 Ave SW,428
2018-01-15,7 Street South of 3 Ave SW,334
2018-01-15,8 Ave West of 3 Street SW,524
2018-01-15,8 Ave West of 8 St SW,0
2018-01-15,9 Ave West of 4 Street SE,56
2018-01-15,Bow River Pathway,450
2018-01-15,Edmonton Tr North of Memorial Dr,56
2018-01-15,Inglewood Bird Sanctuary,52
2018-01-15,Lindsay Park,82
2018-01-15,Memorial Drive at 19 St NW,728
2018-01-15,Memorial Drive at Prince's Island,118
2018-01-15,North Glenmore,20
2018-01-15,Nose Creek,0
2018-01-15,Parkdale,536
2018-01-15,Peace Bridge,244
2018-01-15,River Walk,336
2018-01-15,South Glenmore,52
2018-01-15,Wetlands,0
2018-01-16,10 Street North of 5 Ave NW,192
2018-01-16,12 Ave West of 2 St SW,280
2018-01-16,12 Ave West of 3 St SE,146
2018-01-16,12 Ave West of 8 St SW,248
2018-01-16,5 Street North of 10 Ave SW,0
2018-01-16,5 Street North of 15 Ave SW,302
2018-01-16,5 Street North of 5 Ave SW,456
2018-01-16,7 Street South of 3 Ave SW,284
2018-01-16,8 Ave West of 3 Street SW,592
2018-01-16,8 Ave West of 8 St SW,0
2018-01-16,9 Ave West of 4 Street SE,62
2018-01-16,Bow River Pathway,570
2018-01-16,Edmonton Tr North of Memorial Dr,78
2018-01-16,Inglewood Bird Sanctuary,76
2018-01-16,Lindsay Park,84
2018-01-16,Memorial Drive at 19 St NW,1032
2018-01-16,Memorial Drive at Prince's Island,216
2018-01-16,North Glenmore,22
2018-01-16,Nose Creek,8
2018-01-16,Parkdale,764
2018-01-16,Peace Bridge,212
2018-01-16,River Walk,470
2018-01-16,South Glenmore,94
2018-01-16,Wetlands,0
2018-01-17,10 Street North of 5 Ave NW,190
2018-01-17,12 Ave West of 2 St SW,298
2018-01-17,12 Ave West of 3 St SE,130
2018-01-17,12 Ave West of 8 St SW,274
2018-01-17,5 Street North of 10 Ave SW,0
2018-01-17,5 Street North of 15 Ave SW,300
2018-01-17,5 Street North of 5 Ave SW,532
2018-01-17,7 Street South of 3 Ave SW,352
2018-01-17,8 Ave West of 3 Street SW,678
2018-01-17,8 Ave West of 8 St SW,0
2018-01-17,9 Ave West of 4 Street SE,86
2018-01-17,Bow River Pathway,558
2018-01-17,Edmonton Tr North of Memorial Dr,96
2018-01-17,Inglewood Bird Sanctuary,68
2018-01-17,Lindsay Park,68
2018-01-17,Memorial Drive at 19 St NW,946
2018-01-17,Memorial Drive at Prince's Island,184
2018-01-17,North Glenmore,38
2018-01-17,Nose Creek,0
2018-01-17,Parkdale,678
2018-01-17,Peace Bridge,278
2018-01-17,River Walk,472
2018-01-17,South Glenmore,102
2018-01-17,Wetlands,0
2018-01-18,10 Street North of 5 Ave NW,244
2018-01-18,12 Ave West of 2 St SW,278
2018-01-18,12 Ave West of 3 St SE,122
2018-01-18,12 Ave West of 8 St SW,296
2018-01-18,5 Street North of 10 Ave SW,0
2018-01-18,5 Street North of 15 Ave SW,358
2018-01-18,5 Street North of 5 Ave SW,530
2018-01-18,7 Street South of 3 Ave SW,360
2018-01-18,8 Ave West of 3 Street SW,704
2018-01-18,8 Ave West of 8 St SW,0
2018-01-18,9 Ave West of 4 Street SE,94
2018-01-18,Bow River Pathway,572
2018-01-18,Edmonton Tr North of Memorial Dr,102
2018-01-18,Inglewood Bird Sanctuary,66
2018-01-18,Lindsay Park,60
2018-01-18,Memorial Drive at 19 St NW,910
2018-01-18,Memorial Drive at Prince's Island,210
2018-01-18,North Glenmore,50
2018-01-18,Nose Creek,0
2018-01-18,Parkdale,706
2018-01-18,Peace Bridge,222
2018-01-18,River Walk,508
2018-01-18,South Glenmore,116
2018-01-18,Wetlands,0
2018-01-19,10 Street North of 5 Ave NW,212
2018-01-19,12 Ave West of 2 St SW,296
2018-01-19,12 Ave West of 3 St SE,138
2018-01-19,12 Ave West of 8 St SW,282
2018-01-19,5 Street North of 10 Ave SW,0
2018-01-19,5 Street North of 15 Ave SW,318
2018-01-19,5 Street North of 5 Ave SW,430
2018-01-19,7 Street South of 3 Ave SW,276
2018-01-19,8 Ave West of 3 Street SW,660
2018-01-19,8 Ave West of 8 St SW,0
2018-01-19,9 Ave West of 4 Street SE,90
2018-01-19,Bow River Pathway,448
2018-01-19,Edmonton Tr North of Memorial Dr,96
2018-01-19,Inglewood Bird Sanctuary,48
2018-01-19,Lindsay Park,40
2018-01-19,Memorial Drive at 19 St NW,770
2018-01-19,Memorial Drive at Prince's Island,176
2018-01-19,North Glenmore,38
2018-01-19,Nose Creek,24
2018-01-19,Parkdale,576
2018-01-19,Peace Bridge,202
2018-01-19,River Walk,388
2018-01-19,South Glenmore,70
2018-01-19,Wetlands,0
2018-01-20,10 Street North of 5 Ave NW,116
2018-01-20,12 Ave West of 2 St SW,164
2018-01-20,12 Ave West of 3 St SE,108
2018-01-20,12 Ave West of 8 St SW,150
2018-01-20,5 Street North of 10 Ave SW,0
2018-01-20,5 Street North of 15 Ave SW,136
2018-01-20,5 Street North of 5 Ave SW,104
2018-01-20,7 Street South of 3 Ave SW,114
2018-01-20,8 Ave West of 3 Street SW,284
2018-01-20,8 Ave West of 8 St SW,0
2018-01-20,9 Ave West of 4 Street SE,38
2018-01-20,Bow River Pathway,160
2018-01-20,Edmonton Tr North of Memorial Dr,36
2018-01-20,Inglewood Bird Sanctuary,28
2018-01-20,Lindsay Park,26
2018-01-20,Memorial Drive at 19 St NW,256
2018-01-20,Memorial Drive at Prince's Island,108
2018-01-20,North Glenmore,40
2018-01-20,Nose Creek,38
2018-01-20,Parkdale,200
2018-01-20,Peace Bridge,84
2018-01-20,River Walk,184
2018-01-20,South Glenmore,52
2018-01-20,Wetlands,2
2018-01-21,10 Street North of 5 Ave NW,98
2018-01-21,12 Ave West of 2 St SW,164
2018-01-21,12 Ave West of 3 St SE,118
2018-01-21,12 Ave West of 8 St SW,138
2018-01-21,5 Street North of 10 Ave SW,0
2018-01-21,5 Street North of 15 Ave SW,98
2018-01-21,5 Street North of 5 Ave SW,58
2018-01-21,7 Street South of 3 Ave SW,80
2018-01-21,8 Ave West of 3 Street SW,146
2018-01-21,8 Ave West of 8 St SW,0
2018-01-21,9 Ave West of 4 Street SE,56
2018-01-21,Bow River Pathway,156
2018-01-21,Edmonton Tr North of Memorial Dr,36
2018-01-21,Inglewood Bird Sanctuary,46
2018-01-21,Lindsay Park,70
2018-01-21,Memorial Drive at 19 St NW,278
2018-01-21,Memorial Drive at Prince's Island,134
2018-01-21,North Glenmore,70
2018-01-21,Nose Creek,48
2018-01-21,Parkdale,234
2018-01-21,Peace Bridge,96
2018-01-21,River Walk,322
2018-01-21,South Glenmore,70
2018-01-21,Wetlands,4
2018-01-22,10 Street North of 5 Ave NW,308
2018-01-22,12 Ave West of 2 St SW,324
2018-01-22,12 Ave West of 3 St SE,190
2018-01-22,12 Ave West of 8 St SW,300
2018-01-22,5 Street North of 10 Ave SW,0
2018-01-22,5 Street North of 15 Ave SW,378
2018-01-22,5 Street North of 5 Ave SW,566
2018-01-22,7 Street South of 3 Ave SW,332
2018-01-22,8 Ave West of 3 Street SW,658
2018-01-22,8 Ave West of 8 St SW,0
2018-01-22,9 Ave West of 4 Street SE,130
2018-01-22,Bow River Pathway,650
2018-01-22,Edmonton Tr North of Memorial Dr,98
2018-01-22,Inglewood Bird Sanctuary,80
2018-01-22,Lindsay Park,90
2018-01-22,Memorial Drive at 19 St NW,960
2018-01-22,Memorial Drive at Prince's Island,230
2018-01-22,North Glenmore,54
2018-01-22,Nose Creek,56
2018-01-22,Parkdale,680
2018-01-22,Peace Bridge,250
2018-01-22,River Walk,544
2018-01-22,South Glenmore,112
2018-01-22,Wetlands,6
2018-01-23,10 Street North of 5 Ave NW,300
2018-01-23,12 Ave West of 2 St SW,332
2018-01-23,12 Ave West of 3 St SE,170
2018-01-23,12 Ave West of 8 St SW,294
2018-01-23,5 Street North of 10 Ave SW,0
2018-01-23,5 Street North of 15 Ave SW,342
2018-01-23,5 Street North of 5 Ave SW,544
2018-01-23,7 Street South of 3 Ave SW,348
2018-01-23,8 Ave West of 3 Street SW,678
2018-01-23,8 Ave West of 8 St SW,0
2018-01-23,9 Ave West of 4 Street SE,100
2018-01-23,Bow River Pathway,608
2018-01-23,Edmonton Tr North of Memorial Dr,94
2018-01-23,Inglewood Bird Sanctuary,50
2018-01-23,Lindsay Park,44
2018-01-23,Memorial Drive at 19 St NW,946
2018-01-23,Memorial Drive at Prince's Island,208
2018-01-23,North Glenmore,18
2018-01-23,Nose Creek,124
2018-01-23,Parkdale,692
2018-01-23,Peace Bridge,248
2018-01-23,River Walk,476
2018-01-23,South Glenmore,80
2018-01-23,Wetlands,0
2018-01-24,10 Street North of 5 Ave NW,320
2018-01-24,12 Ave West of 2 St SW,374
2018-01-24,12 Ave West of 3 St SE,190
2018-01-24,12 Ave West of 8 St SW,352
2018-01-24,5 Street North of 10 Ave SW,0
2018-01-24,5 Street North of 15 Ave SW,340
2018-01-24,5 Street North of 5 Ave SW,606
2018-01-24,7 Street South of 3 Ave SW,358
2018-01-24,8 Ave West of 3 Street SW,796
2018-01-24,8 Ave West of 8 St SW,0
2018-01-24,9 Ave West of 4 Street SE,104
2018-01-24,Bow River Pathway,634
2018-01-24,Edmonton Tr North of Memorial Dr,110
2018-01-24,Inglewood Bird Sanctuary,106
2018-01-24,Lindsay Park,96
2018-01-24,Memorial Drive at 19 St NW,916
2018-01-24,Memorial Drive at Prince's Island,220
2018-01-24,North Glenmore,38
2018-01-24,Nose Creek,122
2018-01-24,Parkdale,716
2018-01-24,Peace Bridge,262
2018-01-24,River Walk,536
2018-01-24,South Glenmore,108
2018-01-24,Wetlands,0
2018-01-25,10 Street North of 5 Ave NW,232
2018-01-25,12 Ave West of 2 St SW,300
2018-01-25,12 Ave West of 3 St SE,138
2018-01-25,12 Ave West of 8 St SW,264
2018-01-25,5 Street North of 10 Ave SW,0
2018-01-25,5 Street North of 15 Ave SW,306
2018-01-25,5 Street North of 5 Ave SW,500
2018-01-25,7 Street South of 3 Ave SW,322
2018-01-25,8 Ave West of 3 Street SW,604
2018-01-25,8 Ave West of 8 St SW,0
2018-01-25,9 Ave West of 4 Street SE,90
2018-01-25,Bow River Pathway,542
2018-01-25,Edmonton Tr North of Memorial Dr,88
2018-01-25,Inglewood Bird Sanctuary,58
2018-01-25,Lindsay Park,46
2018-01-25,Memorial Drive at 19 St NW,766
2018-01-25,Memorial Drive at Prince's Island,130
2018-01-25,North Glenmore,12
2018-01-25,Nose Creek,70
2018-01-25,Parkdale,512
2018-01-25,Peace Bridge,208
2018-01-25,River Walk,372
2018-01-25,South Glenmore,58
2018-01-25,Wetlands,0
2018-01-26,10 Street North of 5 Ave NW,234
2018-01-26,12 Ave West of 2 St SW,244
2018-01-26,12 Ave West of 3 St SE,114
2018-01-26,12 Ave West of 8 St SW,252
2018-01-26,5 Street North of 10 Ave SW,0
2018-01-26,5 Street North of 15 Ave SW,218
2018-01-26,5 Street North of 5 Ave SW,452
2018-01-26,7 Street South of 3 Ave SW,270
2018-01-26,8 Ave West of 3 Street SW,736
2018-01-26,8 Ave West of 8 St SW,0
2018-01-26,9 Ave West of 4 Street SE,76
2018-01-26,Bow River Pathway,432
2018-01-26,Edmonton Tr North of Memorial Dr,62
2018-01-26,Inglewood Bird Sanctuary,34
2018-01-26,Lindsay Park,36
2018-01-26,Memorial Drive at 19 St NW,604
2018-01-26,Memorial Drive at Prince's Island,150
2018-01-26,North Glenmore,10
2018-01-26,Nose Creek,54
2018-01-26,Parkdale,420
2018-01-26,Peace Bridge,190
2018-01-26,River Walk,326
2018-01-26,South Glenmore,52
2018-01-26,Wetlands,0
2018-01-27,10 Street North of 5 Ave NW,276
2018-01-27,12 Ave West of 2 St SW,38
2018-01-27,12 Ave West of 3 St SE,26
2018-01-27,12 Ave West of 8 St SW,94
2018-01-27,5 Street North of 10 Ave SW,0
2018-01-27,5 Street North of 15 Ave SW,66
2018-01-27,5 Street North of 5 Ave SW,40
2018-01-27,7 Street South of 3 Ave SW,42
2018-01-27,8 Ave West of 3 Street SW,100
2018-01-27,8 Ave West of 8 St SW,0
2018-01-27,9 Ave West of 4 Street SE,26
2018-01-27,Bow River Pathway,28
2018-01-27,Edmonton Tr North of Memorial Dr,8
2018-01-27,Inglewood Bird Sanctuary,4
2018-01-27,Lindsay Park,14
2018-01-27,Memorial Drive at 19 St NW,42
2018-01-27,Memorial Drive at Prince's Island,34
2018-01-27,North Glenmore,4
2018-01-27,Nose Creek,10
2018-01-27,Parkdale,20
2018-01-27,Peace Bridge,34
2018-01-27,River Walk,70
2018-01-27,South Glenmore,26
2018-01-27,Wetlands,0
2018-01-28,10 Street North of 5 Ave NW,30
2018-01-28,12 Ave West of 2 St SW,52
2018-01-28,12 Ave West of 3 St SE,32
2018-01-28,12 Ave West of 8 St SW,58
2018-01-28,5 Street North of 10 Ave SW,0
2018-01-28,5 Street North of 15 Ave SW,34
2018-01-28,5 Street North of 5 Ave SW,18
2018-01-28,7 Street South of 3 Ave SW,22
2018-01-28,8 Ave West of 3 Street SW,72
2018-01-28,8 Ave West of 8 St SW,0
2018-01-28,9 Ave West of 4 Street SE,12
2018-01-28,Bow River Pathway,16
2018-01-28,Edmonton Tr North of Memorial Dr,10
2018-01-28,Inglewood Bird Sanctuary,4
2018-01-28,Lindsay Park,4
2018-01-28,Memorial Drive at 19 St NW,26
